PLU_Code,Name,Variety,Size,Pieces_In_A_LB,Pieces_In_A_Portion,
4132,Apples,Gala ,Small,4,1,
4134,Apples,Gala ,Large,2,1,
3283,Apples,HoneyCrisp,Regular,3,1,
4138,Apples,GrannySmith ,Small,4,2,
4139,Apples,GrannySmith ,Small,4,2,
4017,Apples,GrannySmith ,Large,2,1,
3071,Apples,GrannySmith ,Regular,3,1,
3422,Apricot,Interspecfic,Regular,10,3,
4218,Apricot,Regular,Small,12,3,
3302,Apricot,Regular,Large,8,4,
4861,Apricot,Dried,Regular,10,3,
4219,Apricot,Retailer Assigned,Regular,10,3,
4080,Asparagus,Green,Small,30,6,
4521,Asparagus,Green,Large,12,6,
33923,Asparagus,Green,Bunch,20,6,
3079,Asparagus,Purple,Regular,20,6,
33943,Asparagus,Purple,Bunch,20,6,
4522,Asparagus,White,Small,30,6,
4523,Asparagus,White,Large,12,6,
33933,Asparagus,White,Bunch,20,6,
4226,Avocado,Cocktail,Seedless,3,1,
42211,Avocado,Green,Small,3,1,
47711,Avocado,Green,Medium,2,1,
42231,Avocado,Green,Large Organic,2,1,
4224,Avocado,Green,Large,2,1,
4046,Avocado,Hass,Small,2,1,
4225,Avocado,Hass,Large,2,1,
3080,Avocado,Pinkerton,Regular,2,1,
33543,Avocado,Ripe,Organic,2,1,
4232,Banana,Banana Leaves,Regular ,3,1,
4229,Banana,Burro,Regular ,3,1,
4230,Banana,Dominique,Regular ,3,1,
4231,Banana,Green,Regular ,3,1,
3287,Banana,Hawaiian Plantain,Regular ,3,1,
4233,Banana,Manzano,Regular ,3,1,
4234,Banana,Nino,Regular ,3,1,
4235,Banana,Macho,Regular ,3,1,
4236,Banana,Red,Regular ,3,1,
4011,Banana,Yellow,Regular,3,1,
4186,Banana,Yellow,Small,4,2,
4237,Banana,RA,Regular,3,1,
4238,Banana,RA,Regular,3,1,
94011,Banana,RA,Organic,3,1,
84011,Banana,Yellow,Regular,3,1,
84186,Banana,Yellow,Small,4,1,
4538,Beet,Baby Red,Regular,4,2,
4542,Beet,Beet Greens,Regular,4,2,
4539,Beet,Bunch,Regular,4,2,
3273,Beet,Golden,Regular,4,2,
4540,Beet,Loose,Regular,4,2,
4541,Beet,RA,Regular,4,2,
4244,Berries,Black,Regular,14,7,
4239,Berries,Blackberries,Regular,14,7,
4240,Berries,Blueberries,Regular,14,7,
42491,Berries,Strawberries,3-pack,14,7,
4028,Berries,Pint,Regular,14,7,
42461,Berries,Pint,Organic,14,7,
4254,Breadfruit,Regular,Regular,1,1,
3277,Broccoli,Baby,Regular,3,1,
4060,Broccoli,Regular,Regular,3,1,
4527,Broccoli,Italian Rapini,Regular,3,1,
